X,Y,Z,formation,series
614926.945671152,2476609.3066879176,447.0,nahr_umr_form_contacts,Default series
615363.5098177462,2476787.8979382254,547.0,nahr_umr_form_contacts,Default series
615503.590210775,2476916.60210812,557.0,nahr_umr_form_contacts,Default series
615565.1144377984,2477092.9197320663,530.0,nahr_umr_form_contacts,Default series
615639.85664128,2477237.4622344906,545.0,nahr_umr_form_contacts,Default series
615752.2250858438,2477310.1410594983,539.0,nahr_umr_form_contacts,Default series
615847.1610562425,2477612.662985078,555.0,nahr_umr_form_contacts,Default series
616067.8116070069,2477824.718281635,547.0,nahr_umr_form_contacts,Default series
616067.1057407295,2477830.1027721753,547.0,nahr_umr_form_contacts,Default series
616088.1168244544,2478181.2214104515,452.0,nahr_umr_form_contacts,Default series
619257.058064843,2478898.9734950014,360.0,nahr_umr_form_contacts,Default series
619483.0526099529,2478552.475543826,472.0,nahr_umr_form_contacts,Default series
619595.380981833,2477995.864789439,544.0,nahr_umr_form_contacts,Default series
619732.1757290878,2477599.599888218,556.0,nahr_umr_form_contacts,Default series
619973.7424040793,2477389.6714214846,550.0,nahr_umr_form_contacts,Default series
620216.1067305831,2477061.8079354255,503.0,nahr_umr_form_contacts,Default series
620234.6914660082,2477050.747299105,505.0,nahr_umr_form_contacts,Default series
620512.1588700346,2476674.3668811163,422.0,nahr_umr_form_contacts,Default series
620568.2428063923,2476398.1396101397,371.0,nahr_umr_form_contacts,Default series
620567.3874360739,2476139.8095875285,355.0,nahr_umr_form_contacts,Default series
615131.1771305895,2474057.147732524,359.0,nahr_umr_form_contacts,Default series
615471.9124556093,2473984.2390921167,343.0,nahr_umr_form_contacts,Default series
615676.7261619486,2474253.790334352,373.0,nahr_umr_form_contacts,Default series
616048.2757658644,2474587.562429213,450.0,nahr_umr_form_contacts,Default series
616121.300877853,2474532.174056124,409.0,nahr_umr_form_contacts,Default series
616059.0162728528,2474419.229774213,420.0,nahr_umr_form_contacts,Default series
616651.6417166194,2474366.710291569,339.0,nahr_umr_form_contacts,Default series
616903.2760962914,2474268.116601476,337.0,nahr_umr_form_contacts,Default series
617713.9455941425,2474913.2240259433,367.0,nahr_umr_form_contacts,Default series
618208.7978459864,2474835.78883906,344.0,nahr_umr_form_contacts,Default series
618274.0595740844,2475215.3844843563,373.0,nahr_umr_form_contacts,Default series
618475.1646168283,2475383.3528193245,395.0,nahr_umr_form_contacts,Default series
618475.1584101449,2475389.7937696083,395.0,nahr_umr_form_contacts,Default series
618618.6682437928,2475584.3163920995,425.0,nahr_umr_form_contacts,Default series
618982.1018241512,2475679.8110192963,404.0,nahr_umr_form_contacts,Default series
618997.7352126134,2475994.5947032934,455.0,nahr_umr_form_contacts,Default series
619004.6941776063,2476383.9061943693,529.0,nahr_umr_form_contacts,Default series
619033.1977375624,2476504.280432119,531.0,nahr_umr_form_contacts,Default series
615061.406360772,2473947.861138836,412.0,naith_form_contacts,Default series
615372.2211529318,2473883.8331280192,376.0,naith_form_contacts,Default series
615649.5203002768,2473710.784363771,339.0,naith_form_contacts,Default series
616044.8052045018,2474258.9753998187,467.0,naith_form_contacts,Default series
617002.6585172163,2474100.593799855,345.0,naith_form_contacts,Default series
617655.9633932578,2474729.8866711454,405.0,naith_form_contacts,Default series
618015.1059631959,2474737.1492173173,404.0,naith_form_contacts,Default series
618316.0246508659,2474580.306165621,340.0,naith_form_contacts,Default series
618692.6952385667,2475441.7204274456,462.0,naith_form_contacts,Default series
619053.7462186742,2475490.190313497,447.0,naith_form_contacts,Default series
619370.636725364,2475437.1567662084,358.0,naith_form_contacts,Default series
619157.1078992916,2476024.859725467,496.0,naith_form_contacts,Default series
619211.7052923981,2476256.0835813526,613.0,naith_form_contacts,Default series
619130.0153449024,2476424.567840133,576.0,naith_form_contacts,Default series
619162.1939599647,2476517.682538943,541.0,naith_form_contacts,Default series
617908.8542689171,2478948.667098904,518.0,naith_form_contacts,Default series
617857.9712139315,2478940.675768089,548.0,naith_form_contacts,Default series
617824.3702919823,2478921.9445896223,573.0,naith_form_contacts,Default series
617790.9084632443,2478921.95211193,576.0,naith_form_contacts,Default series
617715.5129075722,2478885.736047577,592.0,naith_form_contacts,Default series
617684.6485050276,2478866.3023520503,603.0,naith_form_contacts,Default series
617639.1180651037,2478853.7615585187,610.0,naith_form_contacts,Default series
617557.7167848749,2478804.4312497373,634.0,naith_form_contacts,Default series
617519.1106093436,2478778.389427764,630.0,naith_form_contacts,Default series
617473.5611528412,2478750.6910060756,612.0,naith_form_contacts,Default series
617439.1088484433,2478757.889502131,615.0,naith_form_contacts,Default series
617415.9057808588,2478760.261115501,594.0,naith_form_contacts,Default series
616686.5211857532,2474160.4648956987,366.0,naith_form_contacts,Default series
617670.8608865439,2474679.4561258,451.0,naith_form_contacts,Default series
618568.0048193801,2475103.1294451016,473.0,naith_form_contacts,Default series
619169.5017308659,2475503.3952726736,418.0,naith_form_contacts,Default series
619176.8163048865,2476231.549766112,568.0,naith_form_contacts,Default series
614185.3095042452,2474485.569420468,373.0,naith_form_contacts,Default series
614359.7213478355,2475570.4768894264,525.0,naith_form_contacts,Default series
614793.8405421358,2476588.6107567693,473.0,naith_form_contacts,Default series
615569.315309637,2477406.900507783,653.0,naith_form_contacts,Default series
615936.6350188631,2477986.8885818417,585.0,naith_form_contacts,Default series
613939.3665386512,2474284.3431066675,353.0,naith_form_contacts,Default series
614163.9942345828,2474610.486570443,411.0,naith_form_contacts,Default series
614112.9429618029,2474918.2332644006,441.0,naith_form_contacts,Default series
614114.2559658752,2475106.801497161,511.0,naith_form_contacts,Default series
614232.9156345153,2475379.976012975,511.0,naith_form_contacts,Default series
614301.8453990591,2475604.7341309125,572.0,naith_form_contacts,Default series
614331.9767667291,2475744.0553958174,561.0,naith_form_contacts,Default series
614454.5385851512,2475812.98827815,549.0,naith_form_contacts,Default series
614556.5159229377,2476032.925708947,579.0,naith_form_contacts,Default series
614641.702629023,2476141.3897241335,556.0,naith_form_contacts,Default series
614738.4192139334,2476408.841613526,556.0,naith_form_contacts,Default series
614742.7175509294,2476439.4564836062,553.0,naith_form_contacts,Default series
614763.2087757838,2476503.0290124943,519.0,naith_form_contacts,Default series
614789.9395338555,2476554.4902199674,484.0,naith_form_contacts,Default series
614809.2589796346,2476700.075485348,463.0,naith_form_contacts,Default series
614853.0930804382,2476776.8985708137,474.0,naith_form_contacts,Default series
614902.4810272915,2476808.635921272,506.0,naith_form_contacts,Default series
615007.1259202926,2476814.127012101,527.0,naith_form_contacts,Default series
615064.5567272293,2476818.0313073904,547.0,naith_form_contacts,Default series
615111.6195209245,2476858.502875674,572.0,naith_form_contacts,Default series
615176.2531247665,2476922.750414932,591.0,naith_form_contacts,Default series
615321.8314474747,2476967.607109025,627.0,naith_form_contacts,Default series
615322.7716307613,2476968.1164272423,627.0,naith_form_contacts,Default series
615330.995388344,2477034.806345288,627.0,naith_form_contacts,Default series
615288.5992627712,2477080.078451558,619.0,naith_form_contacts,Default series
615262.1878870602,2477166.184225398,583.0,naith_form_contacts,Default series
615233.701057625,2477228.580112657,568.0,naith_form_contacts,Default series
615229.0064572303,2477304.3059673575,532.0,naith_form_contacts,Default series
615214.3208058833,2477387.5826374865,497.0,naith_form_contacts,Default series
615425.1861640644,2477398.2740638065,612.0,naith_form_contacts,Default series
615559.5810099714,2477417.142485926,653.0,naith_form_contacts,Default series
615570.7689488152,2477436.961082784,652.0,naith_form_contacts,Default series
615575.9567306277,2477449.606694987,652.0,naith_form_contacts,Default series
615593.3716289505,2477513.2527405536,636.0,naith_form_contacts,Default series
615565.0718137552,2477599.751113567,594.0,naith_form_contacts,Default series
615563.4983097446,2477610.5978330825,574.0,naith_form_contacts,Default series
615530.9369459176,2477708.93349786,516.0,naith_form_contacts,Default series
615531.2788477862,2477720.4743069625,516.0,naith_form_contacts,Default series
615527.6033587919,2477733.2510191537,501.0,naith_form_contacts,Default series
615527.826961465,2477740.6935676495,501.0,naith_form_contacts,Default series
615520.0779611713,2477809.749294857,487.0,naith_form_contacts,Default series
615566.2245089242,2477847.815792696,510.0,naith_form_contacts,Default series
615870.5393264929,2477903.6062948476,636.0,naith_form_contacts,Default series
615893.2693578019,2478045.080923661,608.0,naith_form_contacts,Default series
615894.4190915743,2478053.5775873284,583.0,naith_form_contacts,Default series
615871.9777822817,2478309.3015167983,493.0,naith_form_contacts,Default series
615895.6832454224,2478501.8599950382,381.0,naith_form_contacts,Default series
619447.7281774902,2479057.5183078307,413.0,naith_form_contacts,Default series
619615.1886981401,2478820.426430106,538.0,naith_form_contacts,Default series
619732.2838780674,2478621.1933134208,580.0,naith_form_contacts,Default series
619817.3985904378,2478420.970927758,605.0,naith_form_contacts,Default series
619865.0685036349,2478172.5294799474,649.0,naith_form_contacts,Default series
619902.6126818014,2477936.278438657,652.0,naith_form_contacts,Default series
619930.1375535005,2477749.7149433717,650.0,naith_form_contacts,Default series
619952.6341432956,2477668.320138864,657.0,naith_form_contacts,Default series
620115.5099658673,2477542.687246503,663.0,naith_form_contacts,Default series
620231.9149731643,2477436.024380174,621.0,naith_form_contacts,Default series
620380.9048570934,2477246.164717171,627.0,naith_form_contacts,Default series
620572.6215999895,2477006.286157032,579.0,naith_form_contacts,Default series
620701.7136704979,2476768.6400508373,509.0,naith_form_contacts,Default series
620786.0544987267,2476481.5064911875,454.0,naith_form_contacts,Default series
620843.044854587,2476053.1920559513,355.0,naith_form_contacts,Default series
618220.620604424,2476762.8943185653,531.0,rayda_form_contacts,Default series
618357.972396365,2476776.5592446188,523.0,rayda_form_contacts,Default series
618490.167348436,2476771.0534069045,516.0,rayda_form_contacts,Default series
618612.7810629319,2476704.0803815476,519.0,rayda_form_contacts,Default series
618703.0593478641,2476649.598783241,515.0,rayda_form_contacts,Default series
618854.560254656,2476627.8063968574,515.0,rayda_form_contacts,Default series
619046.7794621688,2476653.095251585,518.0,rayda_form_contacts,Default series
617465.6394387821,2477117.2972461144,472.0,rayda_form_contacts,Default series
617442.6926645408,2477018.0064160833,488.0,rayda_form_contacts,Default series
617592.7479204871,2476879.4609280457,538.0,rayda_form_contacts,Default series
617595.786666609,2476876.488397989,538.0,rayda_form_contacts,Default series
617811.1472692793,2476721.907211087,546.0,rayda_form_contacts,Default series
617821.6749101793,2476659.6059421115,570.0,rayda_form_contacts,Default series
617900.1398454059,2476614.2030671677,555.0,rayda_form_contacts,Default series
617421.7765232377,2477092.611247587,468.0,sahtan_group_contacts,Default series
617417.3719984031,2477076.5096901925,477.0,sahtan_group_contacts,Default series
617414.177453734,2477043.5725897537,481.0,sahtan_group_contacts,Default series
617418.1800282167,2476998.021164225,481.0,sahtan_group_contacts,Default series
617434.1702423823,2476962.224756603,497.0,sahtan_group_contacts,Default series
617457.0049371688,2476940.0692601586,505.0,sahtan_group_contacts,Default series
617482.295584367,2476899.1807841957,529.0,sahtan_group_contacts,Default series
617507.9407687616,2476867.0706980866,556.0,sahtan_group_contacts,Default series
617538.9418503571,2476888.527233204,547.0,sahtan_group_contacts,Default series
617587.0804063323,2476830.158706927,574.0,sahtan_group_contacts,Default series
617663.4258794809,2476783.9936262784,563.0,sahtan_group_contacts,Default series
617720.0254507571,2476755.628050451,547.0,sahtan_group_contacts,Default series
617761.0574929188,2476726.3281273274,544.0,sahtan_group_contacts,Default series
617795.8248034623,2476707.529997717,546.0,sahtan_group_contacts,Default series
617797.9888871557,2476643.9253094713,574.0,sahtan_group_contacts,Default series
617874.3432285937,2476616.03923922,566.0,sahtan_group_contacts,Default series
617900.0772555198,2476595.447769633,565.0,sahtan_group_contacts,Default series
617773.7536484996,2476552.048785294,611.0,sahtan_group_contacts,Default series
617735.9856429012,2476574.204072919,632.0,sahtan_group_contacts,Default series
617743.241891678,2476653.3309043082,571.0,sahtan_group_contacts,Default series
617652.4279830789,2476722.887027061,568.0,sahtan_group_contacts,Default series
617591.0816703197,2476732.6677422845,582.0,sahtan_group_contacts,Default series
617554.7474407438,2476737.8127408023,591.0,sahtan_group_contacts,Default series
617507.2743258743,2476760.7365376875,595.0,sahtan_group_contacts,Default series
617468.5523592834,2476794.373198554,577.0,sahtan_group_contacts,Default series
617445.3144940872,2476837.6167449057,560.0,sahtan_group_contacts,Default series
617411.8891768857,2476915.1172118764,509.0,sahtan_group_contacts,Default series
617391.4958794209,2476970.811819635,484.0,sahtan_group_contacts,Default series
617374.9695531165,2477020.44593048,474.0,sahtan_group_contacts,Default series
617383.8407296313,2477078.0320033855,467.0,sahtan_group_contacts,Default series
617410.2923087557,2477088.1496445206,468.0,sahtan_group_contacts,Default series
618392.6913154852,2476864.3603859143,558.0,salil_form_contacts,Default series
618465.9832332041,2476799.2488149456,533.0,salil_form_contacts,Default series
618575.1871834886,2476759.004096777,521.0,salil_form_contacts,Default series
618704.3128382603,2476705.6723353723,540.0,salil_form_contacts,Default series
618924.3441203823,2476687.7503556693,544.0,salil_form_contacts,Default series
619010.320869676,2476668.410084354,535.0,salil_form_contacts,Default series
617503.1203088047,2477116.905532264,478.0,salil_form_contacts,Default series
617589.0684744053,2476947.9778383435,523.0,salil_form_contacts,Default series
617928.686327866,2476633.6768175135,555.0,salil_form_contacts,Default series
614570.3924183823,2474657.176122593,358.0,shuaiba_form_contacts,Default series
614628.8457574705,2474801.6331586465,370.0,shuaiba_form_contacts,Default series
614772.273631224,2475055.1853282903,414.0,shuaiba_form_contacts,Default series
614876.9680686643,2475298.482652851,439.0,shuaiba_form_contacts,Default series
614969.0065855347,2475545.511952302,480.0,shuaiba_form_contacts,Default series
615133.8767027281,2475691.598956928,516.0,shuaiba_form_contacts,Default series
615224.1725024029,2475853.4648586647,554.0,shuaiba_form_contacts,Default series
615380.5773550314,2476072.6789112487,593.0,shuaiba_form_contacts,Default series
615544.6514989473,2476173.7391090635,668.0,shuaiba_form_contacts,Default series
615595.6121355103,2476275.2417841805,719.0,shuaiba_form_contacts,Default series
615622.8781812125,2476383.127921316,763.0,shuaiba_form_contacts,Default series
615716.9285111298,2476499.322676842,764.0,shuaiba_form_contacts,Default series
615925.1854287657,2476648.810859929,762.0,shuaiba_form_contacts,Default series
616061.6180688607,2476766.7535485644,740.0,shuaiba_form_contacts,Default series
616164.3658790162,2476889.7379778805,741.0,shuaiba_form_contacts,Default series
616240.7292878008,2477048.530139882,748.0,shuaiba_form_contacts,Default series
616309.8148968861,2477184.338898484,778.0,shuaiba_form_contacts,Default series
616374.7778809874,2477317.771792976,753.0,shuaiba_form_contacts,Default series
616506.2292652305,2477584.0537945884,726.0,shuaiba_form_contacts,Default series
616625.5938566076,2477722.207645413,703.0,shuaiba_form_contacts,Default series
616708.3806413871,2477742.5896230685,730.0,shuaiba_form_contacts,Default series
616757.3044819663,2477790.2931676814,728.0,shuaiba_form_contacts,Default series
619232.1889855642,2478828.870087759,354.0,shuaiba_form_contacts,Default series
619305.0349985065,2478545.495247791,484.0,shuaiba_form_contacts,Default series
619314.8248605176,2478531.999085339,484.0,shuaiba_form_contacts,Default series
619259.8914609704,2478159.7183604967,618.0,shuaiba_form_contacts,Default series
619178.3048253196,2477801.5302042784,603.0,shuaiba_form_contacts,Default series
619215.8206970784,2477696.565848856,602.0,shuaiba_form_contacts,Default series
619161.9970127733,2477521.4362669503,599.0,shuaiba_form_contacts,Default series
619201.9254282918,2477206.580887438,627.0,shuaiba_form_contacts,Default series
619211.4417503212,2477206.4750111178,627.0,shuaiba_form_contacts,Default series
619596.5285735816,2477134.3530384363,587.0,shuaiba_form_contacts,Default series
619907.1614911332,2476855.0335174305,567.0,shuaiba_form_contacts,Default series
620128.5026358742,2476509.7739115674,510.0,shuaiba_form_contacts,Default series
620274.1229060421,2476365.978402743,453.0,shuaiba_form_contacts,Default series
620281.7768098518,2476192.0248549203,397.0,shuaiba_form_contacts,Default series
